Appliances,lights,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,hour,day_of_week,is_weekend,month,avg_temp,avg_humidity
60,30,6.6,733.5,92.0,7.0,63.0,5.3,17,0,0,1,17.167407407407406,50.910740740740756
60,30,6.48333333333333,733.6,92.0,6.66666666666667,59.16666666666669,5.2,17,0,0,1,17.149629629629636,50.82722222222221
50,30,6.36666666666667,733.7,92.0,6.3333333333333295,55.33333333333329,5.1,17,0,0,1,17.10370370370371,50.62888888888889
50,40,6.25,733.7999999999998,92.0,6.0,51.5,5.0,17,0,0,1,17.067037037037036,50.57481481481481
60,40,6.133333333333329,733.9,92.0,5.66666666666667,47.66666666666669,4.9,17,0,0,1,17.070740740740742,50.73296296296295
50,40,6.01666666666667,734.0,92.0,5.3333333333333295,43.83333333333329,4.8,17,0,0,1,17.048518518518513,50.79185185185186
60,50,5.9,734.1,92.0,5.0,40.0,4.7,18,0,0,1,17.040740740740738,50.78814814814816
60,50,5.91666666666667,734.1666666666669,91.8333333333333,5.16666666666667,40.0,4.68333333333333,18,0,0,1,17.01851851851852,50.80296296296296
60,40,5.93333333333333,734.233333333333,91.6666666666667,5.3333333333333295,40.0,4.66666666666667,18,0,0,1,17.018518518518526,50.901944444444446
70,40,5.95,734.2999999999998,91.5,5.5,40.0,4.65,18,0,0,1,17.039629629629633,51.05074074074075
230,70,5.96666666666667,734.366666666667,91.3333333333333,5.66666666666667,40.0,4.633333333333329,18,0,0,1,17.066759259259264,51.22861111111112
580,60,5.98333333333333,734.4333333333329,91.1666666666667,5.8333333333333295,40.0,4.61666666666667,18,0,0,1,17.110370370370376,51.47037037037037
430,50,6.0,734.5,91.0,6.0,40.0,4.6,19,0,0,1,17.18518518518518,51.85407407407407
250,40,6.0,734.616666666667,90.5,6.0,40.0,4.51666666666667,19,0,0,1,17.214907407407395,52.675
100,10,6.0,734.733333333333,90.0,6.0,40.0,4.43333333333333,19,0,0,1,17.25222222222222,53.51981481481481
100,10,6.0,734.85,89.5,6.0,40.0,4.35,19,0,0,1,17.286666666666665,53.49657407407408
90,10,6.0,734.966666666667,89.0,6.0,40.0,4.26666666666667,19,0,0,1,17.310740740740755,53.378888888888895
70,30,6.0,735.0833333333329,88.5,6.0,40.0,4.18333333333333,19,0,0,1,17.313333333333347,53.37824074074074
80,30,6.0,735.2,88.0,6.0,40.0,4.1,20,0,0,1,17.319629629629624,52.96962962962962
140,40,6.0,735.233333333333,87.8333333333333,6.0,40.0,4.06666666666667,20,0,0,1,17.374814814814815,54.36703703703702
120,20,6.0,735.266666666667,87.6666666666667,6.0,40.0,4.03333333333333,20,0,0,1,17.465000000000007,55.06925925925926
190,40,6.0,735.2999999999998,87.5,6.0,40.0,4.0,20,0,0,1,17.45888888888889,54.89518518518521
110,40,6.0,735.3333333333329,87.3333333333333,6.0,40.0,3.9666666666666694,20,0,0,1,17.497777777777767,54.77296296296295
110,40,6.0,735.366666666667,87.1666666666667,6.0,40.0,3.9333333333333296,20,0,0,1,17.548888888888897,54.445185185185174
110,30,6.0,735.4,87.0,6.0,40.0,3.9,21,0,0,1,17.61222222222223,54.684074074074054
110,20,5.93333333333333,735.466666666667,87.1666666666667,6.0,40.0,3.86666666666667,21,0,0,1,17.693333333333342,54.52925925925925
100,30,5.86666666666667,735.533333333333,87.3333333333333,6.0,40.0,3.8333333333333295,21,0,0,1,17.711481481481478,53.28592592592592
100,20,5.8,735.6,87.5,6.0,40.0,3.8,21,0,0,1,17.757407407407413,52.37222222222223
100,20,5.73333333333333,735.6666666666669,87.6666666666667,6.0,40.0,3.7666666666666706,21,0,0,1,17.78703703703705,52.02925925925925
100,20,5.66666666666667,735.733333333333,87.8333333333333,6.0,40.0,3.7333333333333294,21,0,0,1,17.846111111111114,51.73148148148149
110,20,5.6,735.7999999999998,88.0,6.0,40.0,3.7,22,0,0,1,17.867037037037033,51.4072222222222
400,20,5.65,735.8833333333331,87.8333333333333,6.16666666666667,40.0,3.7166666666666694,22,0,0,1,17.889999999999997,51.09592592592591
400,20,5.7,735.966666666667,87.6666666666667,6.3333333333333295,40.0,3.7333333333333294,22,0,0,1,17.965555555555554,50.907407407407405
390,30,5.75,736.0499999999998,87.5,6.5,40.0,3.75,22,0,0,1,18.032037037037032,50.61462962962961
240,20,5.8,736.1333333333331,87.3333333333333,6.66666666666667,40.0,3.7666666666666706,22,0,0,1,18.094444444444445,50.3637037037037
60,20,5.85,736.216666666667,87.1666666666667,6.8333333333333295,40.0,3.7833333333333297,22,0,0,1,18.133240740740746,50.27296296296297
60,20,5.9,736.2999999999998,87.0,7.0,40.0,3.8,23,0,0,1,18.154166666666672,50.28574074074075
60,20,5.8,736.4,87.8333333333333,6.8333333333333295,37.0,3.85,23,0,0,1,18.13259259259259,50.499629629629645
50,10,5.7,736.5,88.6666666666667,6.66666666666667,34.0,3.9,23,0,0,1,18.09851851851851,50.64925925925924
70,20,5.6,736.6,89.5,6.5,31.0,3.95,23,0,0,1,18.05277777777778,50.78898148148146
60,20,5.5,736.7,90.3333333333333,6.3333333333333295,28.0,4.0,23,0,0,1,18.029999999999998,50.95833333333333
40,20,5.4,736.7999999999998,91.1666666666667,6.16666666666667,25.0,4.05,23,0,0,1,17.986666666666665,51.04962962962964
40,10,5.3,736.9,92.0,6.0,22.0,4.1,0,1,0,1,17.97592592592592,51.18481481481479
30,20,5.26666666666667,737.0,92.0,6.0,25.0,4.06666666666667,0,1,0,1,17.948888888888884,51.34444444444445
40,20,5.23333333333333,737.1,92.0,6.0,28.0,4.03333333333333,0,1,0,1,17.928888888888892,51.46555555555554
50,20,5.2,737.2,92.0,6.0,31.0,4.0,0,1,0,1,17.914074074074076,51.569999999999986
310,10,5.16666666666667,737.2999999999998,92.0,6.0,34.0,3.9666666666666694,0,1,0,1,17.87740740740741,51.64333333333334
380,20,5.133333333333329,737.4,92.0,6.0,37.0,3.9333333333333296,0,1,0,1,17.836666666666677,51.65703703703704
380,20,5.1,737.5,92.0,6.0,40.0,3.9,1,1,0,1,17.81166666666666,51.72564814814815
370,20,5.11666666666667,737.6333333333331,92.0,5.8333333333333295,40.0,3.9166666666666705,1,1,0,1,17.850740740740736,52.01851851851852
120,10,5.133333333333329,737.766666666667,92.0,5.66666666666667,40.0,3.9333333333333296,1,1,0,1,17.88851851851852,52.12592592592592
50,0,5.15,737.9,92.0,5.5,40.0,3.95,1,1,0,1,17.90111111111112,52.14666666666667
40,0,5.16666666666667,738.033333333333,92.0,5.3333333333333295,40.0,3.9666666666666694,1,1,0,1,17.855555555555554,52.17629629629629
50,0,5.18333333333333,738.1666666666669,92.0,5.16666666666667,40.0,3.9833333333333294,1,1,0,1,17.809259259259264,52.32592592592592
40,0,5.2,738.2999999999998,92.0,5.0,40.0,4.0,2,1,0,1,17.757314814814816,52.397962962962964
50,0,5.133333333333329,738.4,92.0,4.8333333333333295,40.0,3.9333333333333296,2,1,0,1,17.707962962962963,52.446851851851854
50,0,5.06666666666667,738.5,92.0,4.66666666666667,40.0,3.86666666666667,2,1,0,1,17.688888888888883,52.55592592592594
50,0,5.0,738.6,92.0,4.5,40.0,3.8,2,1,0,1,17.686666666666667,52.664074074074065
40,0,4.93333333333333,738.7,92.0,4.3333333333333295,40.0,3.7333333333333294,2,1,0,1,17.660000000000004,52.66629629629628
40,0,4.86666666666667,738.7999999999998,92.0,4.16666666666667,40.0,3.6666666666666705,2,1,0,1,17.602407407407398,52.61777777777778
30,0,4.8,738.9,92.0,4.0,40.0,3.6,3,1,0,1,17.57148148148149,52.63407407407409
20,0,4.81666666666667,739.016666666667,92.1666666666667,4.3333333333333295,40.0,3.6333333333333298,3,1,0,1,17.529629629629625,52.67629629629631
20,0,4.8333333333333295,739.1333333333331,92.3333333333333,4.66666666666667,40.0,3.6666666666666705,3,1,0,1,17.505555555555556,52.750370370370355
40,0,4.85,739.25,92.5,5.0,40.0,3.7,3,1,0,1,17.491666666666664,52.857592592592596
50,0,4.86666666666667,739.366666666667,92.6666666666667,5.3333333333333295,40.0,3.7333333333333294,3,1,0,1,17.509629629629632,52.943333333333335
50,0,4.883333333333329,739.483333333333,92.8333333333333,5.66666666666667,40.0,3.7666666666666706,3,1,0,1,17.504444444444445,52.97
40,0,4.9,739.6,93.0,6.0,40.0,3.8,4,1,0,1,17.492962962962956,53.01481481481481
50,0,4.91666666666667,739.65,92.6666666666667,5.8333333333333295,40.0,3.7666666666666706,4,1,0,1,17.488148148148134,53.00018518518519
40,0,4.93333333333333,739.7,92.3333333333333,5.66666666666667,40.0,3.7333333333333294,4,1,0,1,17.485555555555553,52.98370370370371
40,0,4.95,739.75,92.0,5.5,40.0,3.7,4,1,0,1,17.482222222222223,52.97962962962963
40,0,4.96666666666667,739.7999999999998,91.6666666666667,5.3333333333333295,40.0,3.6666666666666705,4,1,0,1,17.478148148148154,52.99166666666666
60,0,4.98333333333333,739.85,91.3333333333333,5.16666666666667,40.0,3.6333333333333298,4,1,0,1,17.45962962962963,52.94851851851852
50,0,5.0,739.9,91.0,5.0,40.0,3.6,5,1,0,1,17.448888888888888,52.9637037037037
50,0,4.98333333333333,739.966666666667,91.6666666666667,4.8333333333333295,40.0,3.6833333333333296,5,1,0,1,17.43101851851852,52.95203703703704
40,0,4.96666666666667,740.033333333333,92.3333333333333,4.66666666666667,40.0,3.7666666666666706,5,1,0,1,17.397037037037038,52.86722222222222
40,0,4.95,740.1,93.0,4.5,40.0,3.85,5,1,0,1,17.38777777777778,52.91592592592592
40,0,4.93333333333333,740.1666666666669,93.6666666666667,4.3333333333333295,40.0,3.9333333333333296,5,1,0,1,17.40666666666667,53.012222222222235
40,0,4.91666666666667,740.233333333333,94.3333333333333,4.16666666666667,40.0,4.01666666666667,5,1,0,1,17.40296296296296,53.03629629629631
50,0,4.9,740.2999999999998,95.0,4.0,40.0,4.1,6,1,0,1,17.37259259259259,53.12222222222223
70,10,4.93333333333333,740.4333333333329,94.6666666666667,4.16666666666667,38.16666666666669,4.1,6,1,0,1,17.371944444444445,53.190555555555555
40,0,4.96666666666667,740.5666666666668,94.3333333333333,4.3333333333333295,36.33333333333329,4.1,6,1,0,1,17.362962962962964,53.274814814814825
30,0,5.0,740.7,94.0,4.5,34.5,4.1,6,1,0,1,17.35259259259259,53.30333333333334
20,10,5.03333333333333,740.8333333333329,93.6666666666667,4.66666666666667,32.66666666666669,4.1,6,1,0,1,17.352,53.31037037037038
30,0,5.06666666666667,740.966666666667,93.3333333333333,4.8333333333333295,30.8333333333333,4.1,6,1,0,1,17.335185185185182,53.343611111111095
40,10,5.1,741.1,93.0,5.0,29.0,4.1,7,1,0,1,17.310370370370364,53.368888888888875
50,10,5.1,741.216666666667,92.6666666666667,5.0,30.8333333333333,4.05,7,1,0,1,17.317777777777778,53.43777777777778
60,20,5.1,741.3333333333329,92.3333333333333,5.0,32.66666666666669,4.0,7,1,0,1,17.291851851851856,53.35666666666666
60,20,5.1,741.45,92.0,5.0,34.5,3.95,7,1,0,1,17.2875,53.22740740740741
70,20,5.1,741.5666666666668,91.6666666666667,5.0,36.33333333333329,3.9,7,1,0,1,17.259629629629632,53.172222222222224
60,30,5.1,741.6833333333329,91.3333333333333,5.0,38.16666666666669,3.85,7,1,0,1,17.228148148148154,53.16277777777779
140,20,5.1,741.7999999999998,91.0,5.0,40.0,3.8,8,1,0,1,17.232962962962965,53.10037037037038
110,30,5.05,741.8833333333331,91.0,5.0,40.0,3.7333333333333294,8,1,0,1,17.2362962962963,53.050000000000004
